n_thread,milliseconds
1,16615.6
2,9107.8
3,6226
4,4912.4
5,3835.4
6,3437
7,3116.8
8,2776.4
9,2799.4
10,2752.8
11,2729.4
12,2773.2
13,2717.4
14,2703.4
15,2817
16,2708.4
17,2738.4
18,2671.2
19,2650.4
20,2648.2
21,2646.4
22,2675.2
23,2716
24,2750
25,2808.4
26,2755.4
